N,initialization,converged,iterations,residual,initial_attack,mean_attack,final_survival,expected_survivors,final_tech,mean_deviation_gain,max_deviation_gain
2,peace,True,80,1.796632895789685e-07,0.02588510510139258,0.04939832313360347,0.9789143548524109,1.9578287097048217,2.999716305870549,0.0058816535176821096,0.006787264703239315
2,aggressive,True,93,1.881263096414898e-07,0.02588507481963837,0.04939840769557492,0.9789143370952466,1.9578286741904931,2.9997162393963532,0.005881652634464023,0.006787263721133363
5,peace,True,80,1.8114722782902604e-07,0.01607325035846576,0.044880641405281294,0.9758592852218821,4.879296426109411,2.9995777412661075,0.006039721294086402,0.0074167191361689255
5,aggressive,True,199,1.6653268461452875e-07,0.016073202147246012,0.04488068537658998,0.9758592663083725,4.8792963315418625,2.999577751297166,0.006039723216090994,0.0074167195288656895
10,peace,True,101,1.9820127178382663e-07,0.008839014300826611,0.04001271339730565,0.9720654387618494,9.720654387618493,2.999390022625914,0.006186659878197071,0.007739794596671734
10,aggressive,True,805,1.8803227491703822e-07,0.008839014176119236,0.04001271592828951,0.9720654372563563,9.720654372563564,2.9993900230439228,0.006186659830897596,0.007739773489985113
20,peace,True,198,1.9659038075214852e-07,0.0035352800681914733,0.04403041627107619,0.9663762236620825,19.327524473241652,2.9991184223092895,0.006032587856560643,0.00808952969933796
20,aggressive,True,983,1.8162651815867292e-07,2.9648068197301544e-09,0.8356722186499767,0.8536086976667915,17.07217395333583,2.9654713462857734,0.0003488199793003166,0.007897559926359321
30,peace,True,433,1.9690068675526362e-07,0.0016718992786387394,0.0405691051680644,0.9620448002464217,28.861344007392653,2.998948134367057,0.00569875391965871,0.007531608948174284
30,aggressive,True,185,1.8916482513731125e-07,1.2255001139038444e-14,0.8483321345736691,0.7806399403786186,23.41919821135856,2.9617756040975736,0.00019211592784270393,0.008314077060983749
40,peace,True,684,1.818231823991212e-07,7.814124305489017e-19,0.8504662539131468,0.7197069576785634,28.788278307142537,2.963276659210248,0.00015993517140043,0.008315886292333374
40,aggressive,True,133,1.751790048576396e-07,7.645177272927078e-11,0.8504662477831759,0.7197069784443282,28.788279137773127,2.963276672113816,0.00015993546223593583,0.008315875427879149
50,peace,True,586,1.8508250149151806e-07,1.9406196212244688e-19,0.851492900555745,0.665000037247524,33.2500018623762,2.9652523926436007,0.00014915337534183968,0.007759053600949528
50,aggressive,True,134,1.7937777474497096e-07,6.421948844032219e-11,0.85149289633159,0.6650000437924332,33.25000218962166,2.9652523982167773,0.00014915347458090668,0.007759051573341225
75,peace,True,316,1.9202609458091047e-07,7.45495802982727e-26,0.8555739330808937,0.5452459913280588,40.89344934960441,2.9667221812149065,0.00013654390014053653,0.008328561544281854
75,aggressive,True,131,1.7666302665197975e-07,1.0835001693754025e-10,0.8533197703132531,0.5471049196641375,41.03286897481031,2.969922077921845,0.00013711889075800727,0.008328016924703974
100,peace,True,273,1.6563691207505116e-07,3.1028756118968907e-23,0.8567613073071965,0.4502007098693659,45.02007098693659,2.971094798264708,0.00012896387795464703,0.008040656583943928
100,aggressive,True,130,1.9949633878191264e-07,1.289881154018336e-10,0.8567612746595248,0.45020077028265876,45.020077028265874,2.9710948443833414,0.0001289641945284033,0.008040649204339445
